DATE,PERIOD,CATEGORY,ACTIVE_USERS,NUMBER_OF_SWAPS,TXN_PER_USER,VOLUME_USD
2023-06-01 00:00:00.000,no fee,Retail User,61938,159942,2.582292,462025782.74
2023-06-01 00:00:00.000,no fee,Whale,143,705,4.93007,221117771.27
2023-06-02 00:00:00.000,no fee,Retail User,61459,173169,2.817635,471432116.09
2023-06-02 00:00:00.000,no fee,Whale,157,732,4.66242,170631125.23
2023-06-03 00:00:00.000,no fee,Retail User,60531,141036,2.32998,294585993.3
2023-06-03 00:00:00.000,no fee,Whale,119,588,4.941176,112166647.11
2023-06-04 00:00:00.000,no fee,Retail User,60891,144001,2.364898,286585093.33
2023-06-04 00:00:00.000,no fee,Whale,115,539,4.686957,88183053.24
2023-06-05 00:00:00.000,no fee,Retail User,67552,188503,2.790487,770111055.28
2023-06-05 00:00:00.000,no fee,Whale,226,1081,4.783186,396648373.24
2023-06-06 00:00:00.000,no fee,Retail User,61976,192789,3.110704,726832467.54
2023-06-06 00:00:00.000,no fee,Whale,202,1062,5.257426,331794545.53
2023-06-07 00:00:00.000,no fee,Retail User,59614,193058,3.238467,639873410.62
2023-06-07 00:00:00.000,no fee,Whale,159,1336,8.402516,303908886.63
2023-06-08 00:00:00.000,no fee,Retail User,58521,174205,2.976795,360272343.56
2023-06-08 00:00:00.000,no fee,Whale,132,838,6.348485,196545853.81
2023-06-09 00:00:00.000,no fee,Retail User,67661,200812,2.967914,394605942.66
2023-06-09 00:00:00.000,no fee,Whale,148,1047,7.074324,229769173.88
2023-06-10 00:00:00.000,no fee,Retail User,77260,357073,4.621706,1181783985.34
2023-06-10 00:00:00.000,no fee,Whale,274,2676,9.766423,622499537.57
2023-06-11 00:00:00.000,no fee,Retail User,59565,208077,3.493276,415265176.18
2023-06-11 00:00:00.000,no fee,Whale,106,1101,10.386792,133486838.02
2023-06-12 00:00:00.000,no fee,Retail User,67528,230791,3.417708,582543523.43
2023-06-12 00:00:00.000,no fee,Whale,162,1340,8.271605,312703044.78
2023-06-13 00:00:00.000,no fee,Retail User,65700,227904,3.468858,536604481.15
2023-06-13 00:00:00.000,no fee,Whale,152,1801,11.848684,334706718.01
2023-06-14 00:00:00.000,no fee,Retail User,67722,218412,3.225126,708988275.58
2023-06-14 00:00:00.000,no fee,Whale,222,1364,6.144144,321763357.74
2023-06-15 00:00:00.000,no fee,Retail User,69231,223290,3.225289,828914335.91
2023-06-15 00:00:00.000,no fee,Whale,252,1511,5.996032,360784016.21
2023-06-16 00:00:00.000,no fee,Retail User,72701,221085,3.041017,594233071.8
2023-06-16 00:00:00.000,no fee,Whale,184,1208,6.565217,232303778.09
2023-06-17 00:00:00.000,no fee,Retail User,60590,186006,3.069913,442397223.05
2023-06-17 00:00:00.000,no fee,Whale,142,782,5.507042,142058659.08
2023-06-18 00:00:00.000,no fee,Retail User,56094,161084,2.87168,310676406.09
2023-06-18 00:00:00.000,no fee,Whale,104,784,7.538462,97613110.11
2023-06-19 00:00:00.000,no fee,Retail User,59145,173313,2.930307,506476113.05
2023-06-19 00:00:00.000,no fee,Whale,134,989,7.380597,215902001.79
2023-06-20 00:00:00.000,no fee,Retail User,67346,220947,3.280774,708528636.88
2023-06-20 00:00:00.000,no fee,Whale,175,1355,7.742857,384869422.3
2023-06-21 00:00:00.000,no fee,Retail User,76306,280180,3.671795,1253952493.3
2023-06-21 00:00:00.000,no fee,Whale,283,2378,8.402827,587400556.04
2023-06-22 00:00:00.000,no fee,Retail User,73822,248132,3.36122,841455036.28
2023-06-22 00:00:00.000,no fee,Whale,198,1843,9.308081,444583258.97
2023-06-23 00:00:00.000,no fee,Retail User,70375,239802,3.407488,929371814.79
2023-06-23 00:00:00.000,no fee,Whale,192,1512,7.875,310419331.42
2023-06-24 00:00:00.000,no fee,Retail User,57821,185400,3.206447,488501827.36
2023-06-24 00:00:00.000,no fee,Whale,129,936,7.255814,127155531.36
2023-06-25 00:00:00.000,no fee,Retail User,60585,220513,3.639729,725131980.58
2023-06-25 00:00:00.000,no fee,Whale,97,569,5.865979,116906354.43
2023-06-26 00:00:00.000,no fee,Retail User,73220,251609,3.436343,806213439.81
2023-06-26 00:00:00.000,no fee,Whale,159,1722,10.830189,338643648.35
2023-06-27 00:00:00.000,no fee,Retail User,72730,250235,3.440602,758359554.69
2023-06-27 00:00:00.000,no fee,Whale,157,1487,9.471338,336302317.89
2023-06-28 00:00:00.000,no fee,Retail User,67650,239182,3.53558,672196820.33
